Nuances de Candidats;Nb Sieges
Divers extrême gauche;0
Parti radical de gauche;0
Nouvelle union populaire écologique et sociale;131
Divers gauche;22
Ecologistes;0
Divers;1
Régionaliste;10
INCONNUE;Ensemble ! (Majorité présidentielle);245
Divers centre;4
Union des Démocrates et des Indépendants;3
Les Républicains;61
Divers droite;10
Droite souverainiste;1
Reconquête !;0
Rassemblement National;89
Divers extrême droite;0
Nuances de Candidats;Voix;% Inscrits;% Exprimés;Nb Sieges
Divers extrême gauche;11 229;0,02;0,05;
Nouvelle union populaire écologique et sociale;6 555 984;13,49;31,60;127
Divers gauche;443 274;0,91;2,14;22
Divers;18 296;0,04;0,09;1
Régionaliste;264 802;0,54;1,28;10
INCONNUE;Ensemble ! (Majorité présidentielle);8 002 407;16,47;38,57;244
Divers centre;99 122;0,20;0,48;4
Union des Démocrates et des Indépendants;64 444;0,13;0,31;3
Les Républicains;1 447 877;2,98;6,98;61
Divers droite;231 073;0,48;1,11;10
Droite souverainiste;19 306;0,04;0,09;1
Rassemblement National;3 589 269;7,39;17,30;89
;Nombre;% Inscrits;% Votants
Inscrits;48 589 606;;
Abstentions;26 125 307;53,77;
Votants;22 464 299;46,23;
Blancs;1 239 928;2,55;5,52
Nuls;477 288;0,98;2,12
Exprimés;20 747 083;42,70;92,36
Nuances de Candidats;Voix;% Inscrits;% Exprimés;Nb Sieges
Divers extrême gauche;266 412;0,54;1,17;
Parti radical de gauche;126 689;0,26;0,56;
Nouvelle union populaire écologique et sociale;5 836 079;11,92;25,66;4
Divers gauche;713 574;1,46;3,14;
Ecologistes;608 314;1,24;2,67;
Divers;192 624;0,39;0,85;
Régionaliste;291 384;0,60;1,28;
INCONNUE;Ensemble ! (Majorité présidentielle);5 857 364;11,97;25,75;1
Divers centre;283 612;0,58;1,25;
Union des Démocrates et des Indépendants;198 062;0,40;0,87;
Les Républicains;2 370 440;4,84;10,42;
Divers droite;530 782;1,08;2,33;
Droite souverainiste;249 603;0,51;1,10;
Reconquête !;964 775;1,97;4,24;
Rassemblement National;4 248 537;8,68;18,68;
Divers extrême droite;6 457;0,01;0,03;
;Nombre;% Inscrits;% Votants
Inscrits;48 953 748;;
Abstentions;25 697 541;52,49;
Votants;23 256 207;47,51;
Blancs;362 193;0,74;1,56
Nuls;149 306;0,30;0,64
Exprimés;22 744 708;46,46;97,80
