Liste des candidats;Nuance;Voix;% Inscrits;% Exprimés;Elu(e)
M. Laurent WAUQUIEZ;LR;42 828;41,70;61,61;OUI
M. Alexandre HEUZEY;RN;26 684;25,98;38,39;NON
;Nombre;% Inscrits;% Votants
Inscrits;102 716;;
Abstentions;28 721;27,96;
Votants;73 995;72,04;
Blancs;3 408;3,32;4,61
Nuls;1 075;1,05;1,45
Exprimés;69 512;67,67;93,94
Liste des candidats;Nuance;Voix;% Inscrits;% Exprimés;Elu(e)
M. Laurent WAUQUIEZ;LR;27 013;26,30;36,80;QUALIF T2
M. Alexandre HEUZEY;RN;25 091;24,43;34,18;QUALIF T2
Mme Celline GACON;UG;13 694;13,33;18,66;QUALIF T2
Mme Cécile Marcelle GALLIEN;ENS;6 932;6,75;9,44;NON
Mme Electre DRACOS;EXG;668;0,65;0,91;NON
;Nombre;% Inscrits;% Votants
Inscrits;102 716;;
Abstentions;27 850;27,11;
Votants;74 866;72,89;
Blancs;1 020;0,99;1,36
Nuls;448;0,44;0,60
Exprimés;73 398;71,46;98,04
