;Nombre;% Inscrits;% Votants
Inscrits;176 028;;
Abstentions;27 456;15,60;
Votants;148 572;84,40;
Blancs ou nuls;11 381;6,47;7,66
Exprimés;137 191;77,94;92,34
Liste des candidats;Voix;% Exprimés
M. François HOLLANDE;70 488;51,38
M. Nicolas SARKOZY;66 703;48,62
;Nombre;% Inscrits;% Votants
Inscrits;176 103;;
Abstentions;27 225;15,46;
Votants;148 878;84,54;
Blancs ou nuls;3 779;2,15;2,54
Exprimés;145 099;82,39;97,46
Liste des candidats;Voix;% Exprimés
Mme Eva JOLY;3 041;2,10
Mme Marine LE PEN;29 600;20,40
M. Nicolas SARKOZY;35 438;24,42
M. Jean-Luc MÉLENCHON;16 214;11,17
M. Philippe POUTOU;1 931;1,33
Mme Nathalie ARTHAUD;1 067;0,74
M. Jacques CHEMINADE;322;0,22
M. François BAYROU;16 212;11,17
M. Nicolas DUPONT-AIGNAN;3 021;2,08
M. François HOLLANDE;38 253;26,36
