Liste des candidats;Voix;% Inscrits;% Exprimés
M. Emmanuel MACRON;18 768 639;38,50;58,55
Mme Marine LE PEN;13 288 686;27,26;41,45
;Nombre;% Inscrits;% Votants
Inscrits;48 752 339;;
Abstentions;13 655 861;28,01;
Votants;35 096 478;71,99;
Blancs;2 233 904;4,58;6,37
Nuls;805 249;1,65;2,29
Exprimés;32 057 325;65,76;91,34
Liste des candidats;Voix;% Inscrits;% Exprimés
M. Emmanuel MACRON;9 783 058;20,07;27,85
Mme Marine LE PEN;8 133 828;16,69;23,15
M. Jean-Luc MÉLENCHON;7 712 520;15,82;21,95
M. Éric ZEMMOUR;2 485 226;5,10;7,07
Mme Valérie PÉCRESSE;1 679 001;3,44;4,78
M. Yannick JADOT;1 627 853;3,34;4,63
M. Jean LASSALLE;1 101 387;2,26;3,13
M. Fabien ROUSSEL;802 422;1,65;2,28
M. Nicolas DUPONT-AIGNAN;725 176;1,49;2,06
Mme Anne HIDALGO;616 478;1,26;1,75
M. Philippe POUTOU;268 904;0,55;0,77
Mme Nathalie ARTHAUD;197 094;0,40;0,56
;Nombre;% Inscrits;% Votants
Inscrits;48 747 876;;
Abstentions;12 824 169;26,31;
Votants;35 923 707;73,69;
Blancs;543 609;1,12;1,51
Nuls;247 151;0,51;0,69
Exprimés;35 132 947;72,07;97,80
